,City,Cloudiness,Humidity,Latitude,Temp,Wind Speed
0,Punta Arenas,75,75,-53.16,42.8,10.29
1,Conversion,92,98,15.9,69.59,3.06
2,Gazanjyk,0,35,39.24,63.83,4.52
3,Avarua,20,74,-21.21,80.6,8.05
4,Ushuaia,75,75,-54.81,41.0,17.22
5,Busselton,80,100,-33.64,52.75,8.19
6,Abatskoye,88,92,56.29,56.54,17.83
7,Fort Nelson,90,93,58.81,55.4,3.36
8,Butaritari,68,100,3.07,85.16,6.76
9,Dandong,44,76,40.12,72.83,3.51
10,Upernavik,92,99,72.79,39.52,25.64
11,Ventanas,0,37,-32.74,71.6,6.93
12,Kaitangata,0,74,-46.28,49.69,21.61
13,Santa Vitoria do Palmar,0,81,-33.52,45.2,20.29
14,Tasiilaq,88,100,65.61,41.87,0.04
15,Port Elizabeth,1,64,39.31,78.98,8.05
16,Chokurdakh,92,94,70.62,44.03,8.43
17,Bluff,44,71,-23.58,68.69,4.52
18,Eydhafushi,88,100,5.1,80.57,13.8
19,Dzerzhinsk,0,82,56.24,60.8,8.41
20,Hermanus,92,99,-34.42,45.29,11.79
21,Hilo,90,96,19.71,75.02,4.7
22,Puerto Ayora,75,61,-0.74,78.8,14.99
23,Calatayud,40,73,41.35,71.6,4.7
24,Haines Junction,76,40,60.75,57.26,2.51
25,Panguna,0,84,-6.32,81.92,1.16
26,Severo-Kurilsk,56,100,50.68,49.42,4.72
27,Iqaluit,75,81,63.75,44.6,2.93
28,Hobart,75,57,-42.88,48.2,16.11
29,Sitka,36,40,37.17,93.62,15.48
30,Yellowknife,75,71,62.45,51.8,11.41
31,Rikitea,0,100,-23.12,72.83,13.8
32,Hofn,48,100,64.25,44.39,9.66
33,Vaini,92,98,15.34,67.43,6.42
34,Coquimbo,0,71,-29.95,57.2,9.17
35,Jamestown,8,64,-33.21,52.85,3.96
36,Mikkeli,90,93,61.69,55.4,4.74
37,Sangar,92,62,63.92,52.48,4.16
38,Geraldton,90,82,49.72,66.2,5.82
39,Longyearbyen,40,69,78.22,37.4,14.99
40,Broome,0,87,52.47,51.44,3.36
41,Zvishavane,0,73,-20.32,52.22,2.62
42,Hithadhoo,36,100,-0.6,80.3,7.43
43,Barrow,0,37,-38.31,50.95,4.38
44,Jihlava,92,87,49.4,60.8,9.17
45,Shenjiamen,92,100,29.96,78.94,9.08
46,Albany,75,46,42.65,78.8,11.41
47,Krasnyy,0,80,53.81,51.77,2.73
48,Sinnamary,64,95,5.38,81.65,11.68
49,Saint-Philippe,75,47,45.36,82.4,13.87
50,Atambua,12,100,-9.11,74.08,4.61
51,Georgetown,20,78,6.8,82.4,11.41
52,Egvekinot,92,100,66.32,39.89,3.06
53,San Patricio,0,69,-26.98,47.09,3.18
54,Bathsheba,20,69,13.22,82.4,18.34
55,Provideniya,56,95,64.42,47.81,12.01
56,Coihaique,90,93,-45.58,44.6,9.17
57,Rawson,0,34,-43.3,64.0,9.53
58,Cape Town,75,71,-33.93,50.0,19.46
59,Alofi,64,94,-19.06,73.4,9.17
60,Pisco,0,30,-13.71,71.6,8.05
61,Belmonte,0,41,40.36,66.25,4.61
62,Kununurra,0,76,-15.77,53.6,4.7
63,Saurimo,44,89,-9.66,67.88,2.39
64,Erenhot,76,98,43.65,61.76,5.53
65,Manokwari,92,100,-0.87,76.24,3.6
66,San Jose,92,99,15.79,71.2,2.37
67,Polovinnoye,36,90,54.79,57.44,20.07
68,Anadyr,75,87,64.73,46.4,11.18
69,Pangnirtung,32,96,66.15,40.25,6.2
70,Florianopolis,0,58,-27.6,59.0,5.82
71,Noo,36,86,-1.0,69.05,1.95
72,Kapaa,90,79,22.08,86.0,25.28
73,Robertsport,92,100,6.75,73.64,11.68
74,Husavik,0,85,50.56,68.14,13.22
75,Mataura,0,76,-46.19,55.73,17.72
76,Elmira,40,51,42.09,77.0,12.75
77,East London,44,94,-33.02,68.87,13.02
78,Makakilo City,90,63,21.35,82.94,11.41
79,College,90,79,64.86,59.0,5.82
80,Nador,0,78,35.17,77.0,5.82
81,Duitama,44,80,5.83,57.71,1.95
82,Poum,44,92,41.28,57.98,2.06
83,Khatanga,20,76,71.98,52.4,13.47
84,Katsuura,20,78,33.93,78.8,6.93
85,Arraial do Cabo,75,88,-22.97,73.4,3.36
86,The Valley,20,74,18.22,84.2,13.87
87,Leningradskiy,76,100,69.38,36.47,9.44
88,Kapit,68,93,2.02,74.9,2.73
89,Port Alfred,8,98,-33.59,61.03,4.16
90,Vestmannaeyjar,20,91,63.44,48.43,5.95
91,Mount Gambier,88,94,-37.83,45.73,3.49
92,Santa Cecilia,40,74,5.35,84.2,0.94
93,Guamuchil,8,55,25.47,94.69,5.61
94,Portland,75,48,45.52,69.98,3.36
95,Talnakh,100,90,69.49,51.22,2.37
96,Pevek,36,100,69.7,37.46,10.45
97,Bethel,90,80,60.79,57.02,9.17
98,Ambovombe,0,96,-25.18,63.83,5.97
99,Burnie,48,100,-41.05,52.13,16.71
100,New Norfolk,75,57,-42.78,48.2,16.11
101,Veraval,0,93,49.65,57.2,2.24
102,Yar-Sale,0,100,66.83,48.17,19.62
103,Bredasdorp,76,81,-34.53,50.0,14.99
104,Ahipara,76,90,-35.17,56.17,11.21
105,Atuona,100,100,-9.8,78.86,19.62
106,Bambous Virieux,75,69,-20.34,73.4,14.99
107,Souillac,0,87,45.6,59.0,2.24
108,Bonavista,0,60,48.65,75.07,19.15
109,Lebu,75,93,8.96,59.0,4.7
110,Kidal,88,90,18.44,79.31,0.16
111,Qaanaaq,0,92,77.48,37.19,7.76
112,Narsaq,75,81,60.91,44.6,6.93
113,Satuk,8,83,41.23,62.84,2.06
114,Saint George,0,78,39.45,73.4,3.36
115,Ahuimanu,90,79,21.44,82.94,10.29
116,Ribeira Grande,0,100,38.52,73.82,9.22
117,Chalchihuites,48,45,23.48,71.39,4.41
118,Tuktoyaktuk,40,66,69.44,51.8,4.7
119,Saint-Georges,44,79,46.12,68.87,3.18
120,Sotouboua,80,98,8.56,71.84,6.64
121,Quartucciu,20,78,39.25,75.2,5.82
122,Kodiak,1,47,39.95,93.92,10.29
123,Ous,0,96,60.91,53.48,5.53
124,Cidreira,32,75,-30.17,50.33,15.82
125,Mayumba,76,100,-3.44,72.74,4.74
126,Ambon,0,71,47.55,55.4,2.24
127,Ancud,92,98,-41.87,51.22,7.52
128,Port Blair,92,100,11.67,79.49,23.09
129,Nades,90,87,46.16,55.4,4.7
130,Obihiro,20,100,42.92,64.91,3.51
131,Kruisfontein,0,77,-34.0,57.89,15.59
132,Rio Gallegos,90,70,-51.62,44.6,2.24
133,Fortuna,0,61,38.18,80.6,10.29
134,Lavrentiya,76,93,65.58,46.46,11.68
135,Bellavista,88,92,6.57,75.53,2.17
136,Castro,92,97,-42.48,49.88,8.66
137,Teonthar,92,98,24.98,74.72,3.51
138,Fresno,1,23,36.74,95.0,5.82
139,Khasan,12,94,42.43,71.3,6.42
140,Toamasina,75,94,-18.17,68.0,4.7
141,Dillon,1,3,45.22,78.08,12.75
142,Ust-Kan,88,38,50.93,59.96,5.53
143,Saldanha,0,59,41.42,64.72,3.15
144,Cobija,20,55,-11.02,87.8,3.36
145,Yenagoa,92,93,4.92,72.56,4.41
146,Cabedelo,75,83,-6.97,75.2,10.29
147,Mazagao,20,70,-0.12,86.0,13.87
148,San,12,91,13.3,73.28,8.55
149,Birao,56,98,10.3,68.33,6.76
150,Whitehaven,40,52,35.03,91.4,10.29
151,Tiksi,0,99,71.64,46.82,3.06
152,Chimbote,0,96,-9.08,62.12,5.53
153,Namatanai,12,98,-3.66,83.45,2.51
154,Constitucion,75,28,23.99,80.6,8.05
155,Wadi Musa,0,86,30.32,64.28,2.17
156,Kavaratti,48,94,10.57,82.73,15.7
157,Murray Bridge,12,95,-35.12,53.84,4.07
158,Camacha,20,77,33.08,71.6,9.17
159,Bilibino,80,80,68.06,36.92,3.4
160,Rocha,24,80,-34.48,42.68,13.02
161,Hurricane,1,22,37.18,96.08,12.75
162,Ranong,75,94,9.96,75.2,4.7
163,Evensk,0,91,61.92,53.48,10.0
164,Owase,0,77,34.07,82.19,1.05
165,Terney,92,100,45.05,60.68,5.19
166,Valley City,1,69,46.92,75.2,9.17
167,Freeport,75,74,26.54,84.2,3.36
168,Champerico,75,43,16.38,91.4,12.75
169,Herat,0,46,34.35,71.6,11.41
170,Kingisepp,92,100,59.38,58.88,4.18
171,Las Varas,75,83,21.18,86.0,5.82
172,Madang,80,100,-5.21,75.71,3.18
173,Simpang,75,83,4.82,75.2,4.7
174,Arica,0,72,-18.48,60.8,10.29
175,Neyshabur,0,60,36.21,56.72,6.08
176,Muros,20,87,42.77,59.0,8.05
177,Ridgetown,92,100,42.44,69.41,15.59
178,Yerbogachen,8,96,61.28,45.46,2.48
179,Sapele,92,98,5.89,74.18,3.74
180,Mandalgovi,0,95,45.76,49.79,12.24
181,Carutapera,0,81,-1.2,79.13,7.65
182,Manta,0,88,45.1,62.12,2.73
183,Victoria,75,88,5.28,80.6,3.94
184,Mirnyy,8,67,56.57,56.63,4.41
185,Ugoofaaru,88,100,5.67,80.57,13.8
186,Hovd,75,87,63.83,50.0,13.87
187,Kenora,75,73,49.76,73.4,12.75
188,Faanui,20,100,-16.48,79.3,8.97
189,Salalah,90,100,17.01,73.4,4.7
190,Comodoro Rivadavia,0,45,-45.87,64.4,25.28
191,Hailey,5,17,43.52,77.0,14.99
192,Cabo San Lucas,20,58,22.89,89.6,10.29
193,Nikolskoye,90,93,59.7,60.8,11.18
194,Kyabram,0,100,-36.31,51.77,3.96
195,Lamu,88,100,0.57,74.99,1.61
196,Batemans Bay,64,100,-35.71,46.18,3.6
197,Worland,1,26,44.02,82.04,8.05
198,Pakdasht,0,36,35.48,78.8,4.63
199,Mahebourg,75,69,-20.41,73.4,14.99
200,Nisia Floresta,40,69,-6.09,78.8,17.22
201,Sao Filipe,8,98,14.9,79.04,7.09
202,Carnarvon,0,79,-30.97,36.92,13.69
203,Birnin Kebbi,92,96,12.45,72.65,9.55
204,Chadiza,0,65,-14.06,60.77,6.08
205,Kavieng,32,100,-2.57,80.47,1.03
206,Chajul,48,70,15.48,69.05,2.17
207,Artyom,75,100,43.36,64.4,2.24
208,Saint-Augustin,0,82,44.83,62.6,3.36
209,Peterhead,0,70,-34.83,44.6,5.82
210,Saint-Louis,0,93,47.59,51.8,2.51
211,Imbituba,0,58,-28.24,59.0,5.82
212,Ronne,0,62,48.45,53.6,2.24
213,Russell,0,24,-33.01,68.0,2.24
214,Kenai,90,74,60.55,55.94,4.74
215,Predivinsk,32,89,57.07,53.12,2.39
216,Cherskiy,88,85,68.75,37.91,7.43
217,Vangaindrano,0,90,-23.35,55.55,2.51
218,Punta Alta,0,35,-27.46,57.2,9.17
219,Maldonado,75,66,-34.91,48.2,14.99
220,Valparaiso,1,74,41.47,87.08,8.05
221,Vila Velha,20,78,-3.71,80.6,6.93
222,Mar del Plata,68,49,-46.43,61.39,20.04
223,Zhanakorgan,0,73,43.91,51.77,4.52
224,Axim,92,97,4.87,76.25,11.23
225,Naco,90,83,31.32,87.08,5.82
226,Dalby,90,93,-27.18,57.2,5.82
227,Mehamn,88,92,71.03,52.49,15.48
228,Hambantota,68,99,6.12,79.94,17.05
229,Dingle,92,86,11.0,77.77,5.5
230,Hasaki,75,88,35.73,80.6,2.24
231,Santa Maria,20,57,-29.69,51.8,3.36
232,Nadvoitsy,92,98,63.89,61.67,2.95
233,Bontang,44,100,0.12,80.48,4.07
234,Acari,0,73,-6.44,72.83,12.46
235,Menongue,0,30,-14.66,68.33,5.08
236,Thompson,90,93,55.74,46.4,5.82
237,Port Augusta,0,93,-32.49,41.0,6.93
238,Middle Island,20,64,40.88,77.0,6.93
239,Saskylakh,0,90,71.97,47.99,5.97
240,Qujing,80,98,25.49,59.42,3.96
241,Padang,68,100,-0.92,79.22,4.63
242,Banjar,48,89,-7.37,65.99,1.72
243,Naze,20,78,5.43,78.8,2.24
244,Vila Franca do Campo,20,78,37.72,71.6,10.29
245,Ust-Karsk,56,78,52.71,66.62,3.18
246,Nouadhibou,0,83,20.93,71.6,23.04
247,Miles City,1,42,46.41,71.96,4.7
248,Brae,92,81,60.4,51.8,10.29
249,Suez,0,84,29.97,71.93,2.95
250,That Phanom,92,98,16.94,73.82,9.55
251,Kyzyl-Suu,12,100,42.34,52.48,6.73
252,Sidi Ali,0,72,36.1,64.82,2.39
253,Ponta do Sol,44,54,-20.63,75.25,2.71
254,Khuzhir,0,90,53.19,56.54,4.41
255,Aktau,0,44,43.65,59.0,8.95
256,Harper,1,25,30.3,96.98,5.82
257,Antofagasta,75,71,-23.65,57.2,9.17
258,Tautira,75,65,-17.73,82.4,10.29
259,Mpika,0,63,-11.84,54.47,7.76
260,Henties Bay,0,100,-22.12,51.32,8.43
261,Trairi,8,99,-3.28,79.76,19.73
262,Guerrero Negro,0,59,27.97,78.95,13.13
263,Lorengau,12,100,-2.02,82.64,2.62
264,Spasskoye,0,83,55.86,49.07,2.73
265,Imeni Poliny Osipenko,32,78,52.42,66.71,7.09
266,Nichinan,40,100,31.65,77.0,1.12
267,Beian,75,93,63.66,50.0,9.17
268,Kondinskoye,32,86,59.65,57.35,7.54
269,Lasa,40,74,34.92,78.8,8.05
270,Paka,0,73,45.29,71.6,8.05
271,Bayshore Gardens,90,97,27.43,75.92,9.17
272,Taltal,0,89,-25.41,55.01,2.17
273,Ola,90,100,59.58,59.0,17.05
274,Bajil,0,72,38.23,63.47,2.06
275,Labuhan,32,100,-2.54,71.47,2.04
276,Carauari,8,33,-4.88,96.4,6.4
277,Clyde River,75,80,70.47,41.0,19.46
278,Torbay,90,68,47.66,69.8,16.11
279,Muroto,75,88,33.37,78.8,4.7
280,Baruun-Urt,88,51,46.68,65.63,8.55
281,Khorramshahr,0,21,30.43,95.0,11.41
282,Gamba,56,92,28.28,31.43,1.39
283,Nemuro,100,96,43.32,60.5,22.19
284,Dakar,64,83,14.69,82.4,9.17
285,Lianzhou,56,78,24.79,74.9,3.62
286,Adana,40,83,37.0,78.8,3.36
287,Tupik,32,80,54.43,66.62,3.4
288,Praia,0,56,-20.25,73.4,5.82
289,Flinders,90,87,-34.58,51.8,10.29
290,Kutum,32,88,14.2,65.27,3.62
291,Narasapur,92,100,16.45,77.78,13.02
292,Taoudenni,0,15,22.68,94.15,9.64
293,Natchez,1,47,31.56,91.94,5.82
294,Herran,32,93,42.97,54.02,3.51
295,Amapa,75,70,15.09,86.0,13.87
296,Puerto Escondido,40,66,15.86,87.8,9.17
297,Vieques,40,71,18.43,84.2,14.99
298,Bowen,75,82,-20.01,68.0,4.7
299,Lovozero,80,90,68.01,55.82,5.08
300,Tambovka,0,45,46.93,67.07,10.0
301,Moron,75,69,10.49,82.4,2.73
302,Mattru,92,100,7.62,73.37,6.76
303,Lang Son,48,99,21.83,73.46,3.96
304,Irara,0,95,-8.52,79.58,4.18
305,Kaeo,68,97,-35.1,53.29,7.18
306,Sao Felix do Xingu,0,59,-6.64,82.1,4.41
307,Komsomolskiy,0,84,67.55,37.73,2.06
308,Forssa,20,93,60.82,51.8,3.36
309,Alindao,68,95,5.04,68.6,2.73
310,Wajima,76,89,37.4,81.92,14.25
311,Acapulco,40,70,16.86,87.8,8.05
312,Balkanabat,0,43,39.51,60.77,3.4
313,Omboue,8,100,-1.57,74.72,8.43
314,Chipinge,0,87,-20.19,56.36,2.62
315,Itoman,40,83,26.12,82.4,14.99
316,Jiexiu,0,74,37.02,68.69,4.18
317,Hualmay,20,88,-11.1,60.41,4.52
318,Port Macquarie,90,93,-31.43,53.6,5.82
319,San Quintin,90,94,17.54,77.0,6.93
320,Saint Simons,40,74,31.14,89.6,12.75
321,Praia da Vitoria,20,88,38.73,71.6,10.22
322,Kailua,90,79,21.39,82.94,10.29
323,North Bend,1,62,43.41,64.94,23.04
324,Dergachi,0,86,51.24,53.39,3.18
325,Lata,88,100,30.78,57.79,1.48
326,Lufilufi,40,62,-13.87,87.8,3.36
327,Atkinson,75,59,41.42,89.96,5.82
328,Tahoua,56,91,14.89,73.28,9.44
329,Tessalit,48,45,20.2,85.16,10.56
330,Phuthaditjhaba,0,59,-28.53,43.4,8.1
331,Natal,40,74,-5.81,78.8,17.22
332,Visby,88,76,57.64,55.4,6.93
333,Cockburn Town,44,96,21.46,83.72,17.6
334,Bella Vista,0,57,-28.51,46.37,7.2
335,Chyhyryn,0,76,49.08,60.05,4.07
336,Marienburg,0,81,52.12,53.6,6.93
337,Linxia,68,97,35.6,53.75,2.06
338,Abu Samrah,0,89,35.3,67.61,10.45
339,Norman Wells,90,93,65.28,51.8,2.24
340,Shihezi,0,73,44.3,59.87,2.73
341,Mezen,0,80,65.85,58.7,7.76
342,Mahibadhoo,76,100,3.78,82.37,10.11
343,Puerto Baquerizo Moreno,90,83,-0.9,71.6,16.11
344,Surt,0,98,31.21,78.59,4.63
345,Wilhelmshaven,68,81,53.53,53.6,5.82
346,Mandera,64,67,3.94,76.97,15.26
347,Black River,20,66,18.03,87.8,18.34
348,ChengDe,92,100,40.97,65.45,3.4
349,Hamilton,40,78,32.3,82.4,8.05
350,Morris,1,65,41.36,89.96,6.93
351,Skibbereen,75,81,51.55,53.6,6.93
352,Tual,48,99,-5.67,79.04,9.66
353,Atar,0,20,20.52,84.44,6.53
354,Fayaoue,8,99,-20.65,72.47,18.72
355,Pervomayskiy,0,74,53.24,51.32,2.73
356,Otane,0,58,-39.89,55.19,0.6
357,San Pedro,0,81,-33.68,41.69,3.74
358,Akaltara,92,96,22.02,73.46,6.08
359,Takoradi,92,95,4.89,75.44,7.76
360,Dikson,92,100,73.51,45.83,14.03
361,Yulin,8,78,38.3,68.42,5.19
362,Anloga,20,88,5.79,77.0,8.05
363,Riyadh,0,25,24.63,86.0,2.24
364,Bacolod,44,79,10.68,82.01,6.76
365,Awjilah,0,46,29.14,82.1,9.1
366,Esperance,20,74,10.24,84.2,12.75
367,Laje,88,86,-13.18,67.25,6.53
368,Bud,90,93,62.91,50.0,10.29
369,Neuquen,0,45,-38.95,62.6,5.82
370,Laguna,75,62,27.52,89.6,11.41
371,Nanortalik,24,98,60.14,39.89,4.52
372,Altay,0,74,47.83,39.44,3.18
373,Deputatskiy,48,74,69.3,43.49,3.96
374,Perth,0,81,56.4,50.0,2.24
375,Xai-Xai,0,96,-25.04,68.87,14.14
376,Hobyo,8,88,5.35,73.28,19.51
377,Karratha,0,31,-20.74,58.07,14.03
378,Araouane,0,39,18.9,86.6,6.64
379,Ilulissat,92,100,69.22,40.43,2.51
380,Caluquembe,24,94,-13.78,54.83,2.39
381,Palmer,0,70,-34.85,44.6,5.82
382,Udachnyy,12,86,66.42,49.25,3.18
383,Tabory,92,98,53.89,56.63,7.76
384,Notse,80,93,6.95,72.47,7.43
385,Sayyan,32,34,15.17,63.2,3.4
386,Baykit,36,92,61.68,48.53,3.06
387,Barentu,88,96,15.11,67.79,3.18
388,Port Lincoln,24,100,-34.72,46.27,4.05
389,Tateyama,75,88,36.66,77.0,3.36
390,Nong Khae,75,100,14.34,77.0,4.74
391,Jalu,0,41,29.03,83.54,10.11
392,Oktyabrskiy,0,81,55.61,60.8,4.47
393,Whitehorse,75,66,60.72,55.4,9.17
394,Bara,80,97,10.41,69.41,5.08
395,Kayerkan,56,100,69.35,52.4,2.95
396,Avera,1,40,33.19,89.06,8.05
397,Klaksvik,88,87,62.23,46.4,1.12
398,Tirumullaivasal,80,100,11.24,76.07,10.45
399,Luderitz,0,89,-26.65,50.15,4.41
400,Belaya Gora,92,77,68.54,46.73,4.41
401,Fairbanks,90,79,64.84,59.0,5.82
402,Bom Jesus,40,69,-5.99,78.8,17.22
403,Boa Vista,40,49,2.82,91.4,8.05
404,Luanda,75,83,-8.83,71.6,6.93
405,Port Hueneme,40,62,34.15,84.92,12.75
406,Duiwelskloof,0,83,-23.69,51.05,2.51
407,Nkowakowa,0,86,-23.89,49.42,1.03
408,Cap-aux-Meules,75,69,47.38,73.4,16.11
409,Langfang,0,83,39.51,75.2,2.24
410,Kamaishi,88,72,39.28,79.85,6.64
411,Maragogi,92,85,-9.01,75.52,11.65
412,Araceli,8,100,10.55,83.45,11.56
413,Bar Harbor,1,78,44.39,73.94,11.41
414,Placido de Castro,68,80,-10.34,73.46,5.75
415,Ulcinj,0,69,41.93,75.2,1.12
416,Hvide Sande,80,93,56.01,50.0,5.82
417,Maniitsoq,20,95,65.42,40.7,6.08
418,Gayeri,92,97,12.65,73.91,7.09
419,Richards Bay,0,67,-28.77,68.15,9.1
420,Airai,0,74,-8.93,72.38,1.5
421,Ampanihy,0,85,-24.69,56.72,2.73
422,San Juan,90,100,14.6,82.4,6.93
423,Nurobod,0,32,40.91,66.2,9.17
424,Hami,24,36,42.84,66.98,6.42
425,Adrar,0,17,27.87,91.4,13.87
426,Manzhouli,88,66,49.6,66.98,4.52
427,Registro,92,84,-24.5,59.33,3.62
428,Cascais,0,77,38.7,66.2,13.87
429,Port Hedland,0,38,-20.31,59.0,10.29
430,Boshnyakovo,80,95,49.65,56.54,2.62
431,Nara,20,69,34.68,82.4,8.05
432,Alugan,76,99,12.22,81.56,3.4
433,Bukan,0,78,36.52,58.24,2.15
434,Loa Janan,36,91,-0.58,79.13,2.62
435,Nome,1,45,30.04,96.26,8.05
436,Marabba,68,93,12.35,73.37,5.75
437,Saryg-Sep,24,77,51.49,48.35,2.51
438,Vao,92,96,59.1,57.08,2.62
439,Srednekolymsk,92,77,67.46,40.25,5.97
440,Arlit,32,64,18.74,80.93,9.44
441,Martaban,92,99,16.53,72.83,8.43
442,Guarapari,0,78,-20.67,77.0,19.46
443,Puerto del Rosario,0,50,28.5,78.8,10.29
444,Marzuq,36,17,14.4,80.65,6.06
445,Wana,0,95,32.31,57.71,3.96
446,Aklavik,75,76,68.22,59.0,8.05
447,Isangel,20,100,-19.55,73.19,16.6
448,Milton,75,35,44.64,82.04,12.75
449,Pierre,1,28,44.37,93.92,17.22
450,Xingyi,68,97,24.19,62.39,2.73
451,Farmington,75,36,36.73,80.96,10.29
452,Mersing,12,98,2.43,76.52,6.08
453,Sorochinsk,0,91,52.43,49.34,3.06
454,Muhos,0,76,64.81,53.6,8.05
455,General Pico,0,34,-35.66,46.37,7.54
456,Sur,20,91,22.57,84.17,4.63
457,Koslan,0,90,63.46,47.27,5.53
458,Acurenam,88,98,1.03,69.95,2.51
459,Primero de Marzo,0,44,-25.15,59.0,6.93
460,Salto,0,88,-31.39,42.23,3.62
461,San Felipe,0,25,-32.75,64.4,9.17
462,Nadym,88,84,65.53,53.84,16.15
463,Ossora,68,95,59.24,54.02,11.12
464,Langham,75,44,52.36,60.8,10.29
465,Pecineaga,0,82,43.9,68.0,5.82
466,Staryy Nadym,88,84,65.61,53.84,16.15
467,Fougamou,100,92,-1.22,72.02,2.06
468,Ternate,90,100,14.29,82.4,6.93
469,Kalmunai,80,99,7.42,73.28,2.95
470,Orotukan,56,69,62.26,47.63,6.2
471,Berlevag,12,92,70.86,51.95,17.49
472,Bukama,0,80,-9.2,68.42,2.51
473,Zhigalovo,0,87,54.81,54.47,2.06
474,Ust-Maya,12,88,60.42,60.05,3.62
475,Chuy,0,81,-33.69,45.2,20.29
476,Medea,40,57,36.27,77.0,3.36
477,Gravdal,80,76,59.79,53.6,14.99
478,Dudinka,64,98,69.41,54.83,4.07
479,Santa Rosa,0,37,-36.62,46.01,6.64
480,Tianpeng,48,79,28.88,78.32,12.46
481,Tigil,92,98,57.8,53.56,7.18
482,San Matias,40,73,13.97,71.6,11.41
483,Chemax,36,88,20.66,77.69,3.06
484,Jiuquan,92,76,39.73,56.09,3.4
485,Camapua,0,55,-19.53,64.01,13.02
486,Ostrovnoy,80,65,68.05,63.91,21.05
487,Deniliquin,0,96,-35.53,53.57,5.19
488,Dhulian,48,94,24.68,78.68,2.95
489,Pasni,48,100,25.26,78.77,11.45
490,Lethem,64,55,3.38,85.7,7.2
491,Gulu,24,93,2.77,60.5,2.73
492,Thinadhoo,8,100,0.53,82.09,7.4
493,Bloomfield,1,52,40.81,78.8,8.05
494,Vostochnyy,0,67,55.82,60.8,2.62
495,Tahe,68,80,52.34,67.25,3.18
496,Balabac,12,98,7.99,85.43,7.09
497,Seoul,40,88,37.57,71.6,1.12
498,Manaulanan,0,90,7.05,78.32,3.62
499,Gunjur,40,88,13.18,78.8,3.36
500,Florida,40,83,21.53,80.6,5.82
501,Jambi,76,97,-1.6,74.81,3.18
502,Vitoria do Mearim,0,73,-3.46,80.93,5.64
503,Bolotnoye,76,96,55.67,58.16,3.18
504,Pinar del Rio,48,93,22.42,78.5,3.18
505,Santa Cruz,1,69,36.97,82.4,10.29
506,Margate,75,57,-43.03,48.2,16.11
507,Ullapool,92,100,57.9,50.69,8.55
508,Hun,20,76,50.34,53.6,4.7
509,Cowra,88,100,-33.84,49.43,3.96
510,Codrington,92,100,-28.95,55.46,3.18
511,Iquique,90,77,-20.22,59.0,6.93
512,Sorland,24,100,67.67,52.49,19.06
513,Troyes,0,66,48.3,51.8,2.24
514,Ahome,20,41,25.92,93.2,16.11
515,Lokosovo,0,92,61.13,50.69,2.73
516,Lensk,92,100,60.71,53.39,3.4
517,Sun City West,40,29,33.66,100.4,4.07
518,Tabas,0,38,33.6,62.75,3.51
519,Saint-Joseph,75,40,43.56,77.0,2.24
520,Kambar,0,65,27.59,81.56,5.75
521,Teya,75,74,21.05,82.4,17.22
522,Gien,32,88,47.69,47.9,2.73
523,Havre-Saint-Pierre,20,82,50.23,62.6,12.75
524,Kedougou,88,94,12.56,74.36,4.07
525,Paungde,92,99,18.49,74.0,12.01
526,Salym,0,77,60.06,58.79,6.53
527,Vila,90,100,45.18,68.0,9.17
528,Te Anau,32,83,-45.41,46.91,13.02
529,Sechura,0,81,-5.56,68.87,11.56
530,Kartaly,76,97,53.05,56.0,11.68
531,General Roca,0,45,-39.03,62.6,5.82
532,Stepnyak,0,93,52.83,43.4,7.54
533,Oranjemund,92,98,-28.55,56.54,12.24
534,Ewing,20,55,40.27,78.98,4.7
535,Saint-Pierre,0,71,48.95,50.0,2.73
536,Bandipur,24,95,11.67,63.29,2.06
537,Caravelas,0,100,-17.73,75.89,15.03
538,Kutulik,0,82,53.35,56.9,10.11
539,Straumen,75,87,63.87,50.0,13.87
540,Meulaboh,48,100,4.14,78.86,3.74
541,Ust-Omchug,48,63,61.13,48.35,5.64
542,Walvis Bay,0,100,-22.95,54.92,15.14
543,Vesyegonsk,8,79,58.67,56.27,6.08
544,Hohhot,0,87,40.81,59.0,4.47
545,Nago,90,100,45.88,64.4,32.21
546,Dovbysh,12,82,50.37,60.23,2.73
547,Mecca,36,78,21.43,75.89,2.73
548,Ende,0,100,-8.84,77.15,3.74
549,Erzin,0,65,36.95,80.6,19.46
550,Fairlie,40,33,33.31,98.06,4.7
551,Yarada,92,100,17.65,80.66,21.52
552,Pimentel,0,81,-3.7,78.32,4.63
553,Necochea,0,76,-38.55,37.55,2.95
554,Gimli,12,77,50.63,67.25,11.12
555,Thunder Bay,75,77,48.41,69.8,8.05
556,Mikuni,75,88,36.22,78.8,3.36
557,Beringovskiy,92,100,63.05,49.52,9.66
558,Brtnice,92,87,49.31,53.6,9.17
559,Vilyuysk,12,82,63.75,55.37,3.51
560,Jimo,0,88,36.39,68.0,5.41
